"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA"
"KAZEN, SPOL , LETO"

" ";" ";"Moški";" ";" ";"Ženske";" ";" "
" ";" ";"2014";"2015";"2016";"2014";"2015";"2016"
"4.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"11 Zaporna kazen";12;348;298;2;34;24
" ";"12 Denarna kazen";2;30;23;1;2;-
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;4;2;-;-;2
" ";"16 Varnostni ukrep brez izreka kazni";-;5;1;-;1;1
"4.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE"
" ";"11 Zaporna kazen";7;86;79;2;12;7
" ";"12 Denarna kazen";3;5;21;-;-;6
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;3;2;-;1;1
" ";"16 Varnostni ukrep brez izreka kazni";-;3;2;-;-;-
"4.XVIII KAZNIVA DEJANJA ZOPER ÈAST IN DOBRO IME"
" ";"11 Zaporna kazen";-;31;20;1;12;8
" ";"12 Denarna kazen";1;5;7;-;2;2
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;3;1;-;2;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST"
" ";"11 Zaporna kazen";2;61;69;-;1;-
" ";"12 Denarna kazen";-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;2;1;-;-;-
"4.XX KAZNIVA DEJANJA ZOPER ÈLOVEKOVO ZDRAVJE"
" ";"11 Zaporna kazen";38;375;292;3;28;46
" ";"12 Denarna kazen";-;4;1;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;1;-
"4.XXI KAZNIVA DEJANJA ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE"
" ";"11 Zaporna kazen";12;411;370;3;46;47
" ";"12 Denarna kazen";-;1;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;2;3;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;4;6;-;-;-
"4.XXII KAZNIVA DEJANJA ZOPER DELOVNO RAZMERJE IN SOCIALNO VARNOST"
" ";"11 Zaporna kazen";4;122;120;-;26;24
" ";"12 Denarna kazen";1;3;7;-;1;2
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;1;1;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XXIII KAZNIVA DEJANJA ZOPER PREMOŽENJE"
" ";"11 Zaporna kazen";101;2177;1785;24;416;379
" ";"12 Denarna kazen";2;67;63;-;21;13
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;14;4;-;5;7
" ";"16 Varnostni ukrep brez izreka kazni";-;3;4;-;4;1
"4.XXIV KAZNIVA DEJANJA ZOPER GOSPODARSTVO"
" ";"11 Zaporna kazen";7;379;262;1;75;67
" ";"12 Denarna kazen";-;30;12;-;5;3
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;1;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XXV KAZNIVA DEJANJA ZOPER PRAVNI PROMET"
" ";"11 Zaporna kazen";11;375;374;2;65;66
" ";"12 Denarna kazen";1;11;10;-;1;6
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;3;-;-;4;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XXVI KAZNIVA DEJANJA ZOPER URADNO DOLŽNOST IN JAVNA POOBLASTILA"
" ";"11 Zaporna kazen";3;23;21;-;2;6
" ";"12 Denarna kazen";-;-;3;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;1;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XXVIII KAZNIVA DEJANJA ZOPER PRAVOSODJE"
" ";"11 Zaporna kazen";5;57;53;2;19;29
" ";"12 Denarna kazen";-;13;13;-;7;2
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;1;-;-;1;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XXIX KAZNIVA DEJANJA ZOPER JAVNI RED IN MIR"
" ";"11 Zaporna kazen";31;303;273;3;26;16
" ";"12 Denarna kazen";-;14;9;-;1;1
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;3;-;-;1;-
" ";"16 Varnostni ukrep brez izreka kazni";-;7;3;-;-;-
"4.XXX KAZNIVA DEJANJA ZOPER SPLOŠNO VARNOST LJUDI IN PREMOŽENJA"
" ";"11 Zaporna kazen";1;19;23;-;5;4
" ";"12 Denarna kazen";-;2;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;1;-;-;-;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;1;-;-;-
"4.XXXI KAZNIVA DEJANJA ZOPER VARNOST JAVNEGA PROMETA"
" ";"11 Zaporna kazen";5;125;134;2;24;24
" ";"12 Denarna kazen";-;29;40;-;3;8
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;1;-;-;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-
"4.XXXII KAZNIVA DEJANJA ZOPER OKOLJE, PROSTOR IN NARAVNE DOBRINE"
" ";"11 Zaporna kazen";1;17;8;-;2;2
" ";"12 Denarna kazen";-;1;2;-;-;1
" ";"13 Sodni opomin";-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-

"KAZNIVO DEJANJE "
"Kazniva dejanja so razvršèena po posameznih kazenskih zakonikih. "
"Èe je na prvem mestu šifra 1. pomeni, da gre za kazniva dejanja po "
"Kazenskem zakoniku KZ-UPB1 (uporabljen do leta 2008), èe je na prvem "
"mestu šifra 4. gre za  kazniva dejanja po Kazenskem zakoniku KZ-1 "
"(uporabljen od leta 2008 do 2012), èe je na prvem mestu šifra 5. gre "
"za  kazniva dejanja po Kazenskem zakoniku KZ-1B (uporabljen od leta "
"2012 dalje). Šifri 2. in 3. pomenita stare kazenske zakonike, ki niso "
"veè v  uporabi. "
"Predlagamo uporabo iskalnika (v okence 'Išèi' pri spremenljivki "
"KAZNIVO DEJANJE vtipkajte iskani niz). "
"Primer: "
"Èe želite imeti podatke o »povzroèitvi prometne nesreèe iz "
"malomarnosti« po vseh kazenskih zakonikih morate izbrati šifre "
"1.XXXI.325, 4.XXXI.323  in 5.XXXI.323. "
" "
"Vir: Statistièni urad Republike Slovenije. "
" "

"Povezane vsebine: "
"- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/8274 "
"target=_blank) Metodološka pojasnila"

"Ker so bili podatki o odloèitvah sodnikov pri našem podatkovnem viru "
"(Vrhovno sodišèe Republike Slovenije, Informatizirana kazenska "
"evidenca Vrhovnega sodišèa RS) popravljeni, smo te podatke za leto "
"2015 popravili tudi v SI-STAT bazi."

